DataId,who_region,iso3,country_name,city,year,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov,type_of_stations,number_of_stations,population,latitude,longitude,who_ms,Air_quality_category
000,4_Eur,ESP,Spain,Granada,2010,39.903,Tidak diketahui,40.815,93,Tidak diketahui,99,Somewhere,1,495901,37.1859603333333,-3.608474,1,Safety
001,4_Eur,ESP,Spain,Teguise,2010,21.166,6.707,7.536,99,Tidak diketahui,97,Somewhere,1,21101,28.9903109999999,-13.51655,1,Safety
002,5_Emr,IRN,Iran (Islamic Republic of),Tehran,2010,93.986,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,9134708,35.7111151845831,51.4213317067999,1,Safety
003,4_Eur,TUR,Türkiye,Edirne,2010,64.097,Tidak diketahui,Tidak diketahui,93,Tidak diketahui,Tidak diketahui,Somewhere,1,152628,41.65889,26.5852779999999,1,Safety
004,4_Eur,GBR,United Kingdom of Great Britain and Northern Ireland,Edinburgh,2010,14.213,9.488,27.358,Tidak diketahui,94,99,Somewhere,1,536775,55.9624772499999,-3.31434775,1,Safety
005,4_Eur,DEU,Germany,Edertal,2010,14.897,Tidak diketahui,7.948,98,Tidak diketahui,99,Somewhere,1,6548,51.154842,9.031753,1,Safety
006,4_Eur,FRA,France,Echirolles,2010,36.18,22.924,49.087,85,93,98,Somewhere,1,35995,45.1583639999999,5.70376399999999,1,Safety
007,4_Eur,GRC,Greece,Echedoro,2010,Tidak diketahui,Tidak diketahui,18.476,Tidak diketahui,Tidak diketahui,75,Somewhere,1,9289,40.657845,22.8023659999999,1,Safety
008,4_Eur,DEU,Germany,Eggenstein Leopoldshafen,2010,19.997,Tidak diketahui,24.739,100,Tidak diketahui,95,Somewhere,1,15611,49.0765499999999,8.40666,1,Safety
009,2_Amr,MEX,Mexico,Ecatepec De Morelos,2010,71.178,22.021,28.72,87,79,1,Somewhere,1,1655015,19.5294815,-99.056362,1,Safety
0010,4_Eur,DEU,Germany,Eberswalde,2010,31.396,22.407,27.621,100,100,98,Somewhere,1,39166,52.8324659999999,13.8222109999999,1,Safety
0011,4_Eur,AUT,Austria,Ebenthal,2010,25.507,Tidak diketahui,19.607,Tidak diketahui,Tidak diketahui,95,Somewhere,1,7698,46.6083339999999,14.398611,1,Safety
0012,2_Amr,USA,United States of America,Eau Claire WI,2010,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,Tidak diketahui,44.76249,-91.41445,1,Safety
0013,4_Eur,GBR,United Kingdom of Great Britain and Northern Ireland,Eastbourne,2010,Tidak diketahui,13.414,Tidak diketahui,Tidak diketahui,94,Tidak diketahui,Somewhere,1,91613,50.805779,0.271610999999999,1,Safety
0014,4_Eur,CZE,Czechia,Teplice,2010,32.173,22.739,21.529,79,88,95,Somewhere,1,49640,50.645279,13.851251,1,Safety
0015,4_Eur,POL,Poland,Dzierzoniow,2010,Tidak diketahui,Tidak diketahui,19.71,Tidak diketahui,Tidak diketahui,94,Somewhere,1,34952,50.7328169999999,16.64805,1,Safety
0016,4_Eur,POL,Poland,Dzialoszyn,2010,30.537,Tidak diketahui,12.824,98,Tidak diketahui,96,Somewhere,1,6316,50.972169,14.941297,1,Safety
0017,4_Eur,ESP,Spain,Telde,2010,18.099,7.838,10.194,91,Tidak diketahui,89,Somewhere,1,102076,28.0141221999999,-15.413437,1,Safety
0018,4_Eur,TUR,Türkiye,Duzce,2010,81.502,Tidak diketahui,Tidak diketahui,98,Tidak diketahui,Tidak diketahui,Somewhere,1,148061,40.845554,31.148056,1,Safety
0019,4_Eur,POL,Poland,Tczew,2010,23.762,Tidak diketahui,16.91,96,Tidak diketahui,87,Somewhere,1,60889,54.0858309999999,18.7877769999999,1,Safety
0020,4_Eur,NLD,Netherlands (Kingdom of the),Eibergen,2010,27.022,Tidak diketahui,17.317,87,Tidak diketahui,99,Somewhere,1,9590,52.0925,6.60583899999999,1,Safety
0021,4_Eur,TUR,Türkiye,Elazig,2010,86.665,Tidak diketahui,Tidak diketahui,90,Tidak diketahui,Tidak diketahui,Somewhere,1,408388,38.675556,39.211945,1,Safety
0022,4_Eur,HUN,Hungary,Tatabanya,2010,26.792,Tidak diketahui,22.457,100,Tidak diketahui,99,Somewhere,1,66475,47.55722,18.420835,1,Safety
0023,2_Amr,USA,United States of America,El Paso TX,2010,32.0,8.3,27.667,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,951270,31.7370615,-106.411819,1,Safety
0024,4_Eur,ESP,Spain,El Ejido,2010,30.303,Tidak diketahui,16.038,98,Tidak diketahui,98,Somewhere,1,68915,36.769719,-2.810969,1,Safety
0025,2_Amr,USA,United States of America,El Dorado AR,2010,Tidak diketahui,11.6,Tidak diketahui,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,17756,33.2205625298932,-92.672262743334,1,Safety
0026,4_Eur,DEU,Germany,Tauberbischofsheim,2010,18.819,Tidak diketahui,14.832,99,Tidak diketahui,95,Somewhere,1,12813,49.6348419999999,9.65791899999999,1,Safety
0027,2_Amr,USA,United States of America,El Centro CA,2010,Tidak diketahui,8.533,17.0,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,44322,32.8155766666666,-115.528433333333,1,Safety
0028,4_Eur,ITA,Italy,Egna,2010,19.871,16.352,44.803,93,79,91,Somewhere,1,3474,46.3308329999999,11.275277,1,Safety
0029,2_Amr,CHL,Chile,El bosque,2010,70.267,27.772,22.757,Tidak diketahui,Tidak diketahui,Tidak diketahui,Somewhere,1,162505,-33.5469999999999,-70.6662,1,Safety
0030,4_Eur,FRA,France,Tavaux,2010,Tidak diketahui,Tidak diketahui,15.968,Tidak diketahui,Tidak diketahui,97,Somewhere,1,3957,47.042611,5.40089699999999,1,Safety
0031,4_Eur,ESP,Spain,Eivissa,2010,19.014,Tidak diketahui,11.364,86,Tidak diketahui,94,Somewhere,1,49693,38.9138889999999,1.42518499999999,1,Safety
0032,4_Eur,ITA,Italy,Tavazzano,2010,34.824,Tidak diketahui,30.697,92,Tidak diketahui,94,Somewhere,1,6099,45.329445,9.414721,1,Safety
0033,4_Eur,AUT,Austria,Eisenstadt,2010,25.542,Tidak diketahui,20.133,Tidak diketahui,Tidak diketahui,94,Somewhere,1,13101,47.84,16.526674,1,Safety
0034,4_Eur,DEU,Germany,Eisenhuttenstadt,2010,26.712,22.231,14.06,100,100,97,Somewhere,1,28219,52.146267,14.638166,1,Safety
0035,4_Eur,DEU,Germany,Eisenach,2010,23.479,Tidak diketahui,13.199,98,Tidak diketahui,97,Somewhere,1,37700,50.8585889999999,10.4738696666666,1,Safety
0036,4_Eur,NLD,Netherlands (Kingdom of the),Eindhoven,2010,27.032,16.977,36.74,92,91,98,Somewhere,1,358966,51.4408346666666,5.43167233333333,1,Safety
0037,2_Amr,PER,Peru,El Agustino,2010,73.82,35.18,30.27,75,75,75,Urban,1,198862,-12.040208,-76.991557,1,Safety
0038,4_Eur,ITA,Italy,Teramo,2010,30.847,Tidak diketahui,37.827,93,Tidak diketahui,95,Somewhere,1,54294,42.657223,13.709444,1,Safety
0039,4_Eur,ITA,Italy,Termini Imerese,2010,19.368,Tidak diketahui,8.344,82,Tidak diketahui,76,Somewhere,1,27217,37.9833339999999,13.6833329999999,1,Safety
0040,4_Eur,DEU,Germany,Dusseldorf,2010,31.723,17.793,48.691,97,98,95,Somewhere,1,941500,51.2337417142857,6.75388914285713,1,Safety
0041,4_Eur,DEU,Germany,Duisburg,2010,30.311,23.894,36.023,96,97,92,Somewhere,1,515076,51.4723669090909,6.75140699999999,1,Safety
